SDR	7.3.15

-----Logger Information-----
Model #	4280
Serial #	04531
Hardware Rev.	023-022-040

-----Site Information-----
Site #	4531
Site Desc	New Site
Project Code	New
Project Desc	New Project
Site Location	
Site Elevation	131
Latitude	S 005° 11.376'
Longitude	W 079° 58.019'
Time offset (hrs)	-5

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:17950
Height	10   m
Scale Factor	0.757
Offset	0.4
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	0
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	0
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	2
Description	NovaLynx Rain  mm
Details	
Serial Number	SN:2967
Height	7   m
Scale Factor	0.254
Offset	0
Units	mm

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:12345
Height	10   m
Scale Factor	0.351
Offset	0
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	0
Scale Factor	0.351
Offset	0
Units	deg

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:12345
Height	10   m
Scale Factor	0.136
Offset	-86.383
Units	C

Channel #	10
Type	4
Description	Licor Pyran W/sqm
Details	
Serial Number	SN:65733
Height	10   m
Scale Factor	1.32
Offset	0
Units	W/sqm

Channel #	11
Type	4
Description	BP-20 Barom. mb
Details	
Serial Number	SN:11134
Height	09   m
Scale Factor	0.4255
Offset	653.812
Units	mb

Channel #	12
Type	4
Description	RH-5 Humidity %RH
Details	
Serial Number	SN:4414
Height	10   m
Scale Factor	0.097
Offset	0
Units	%RH

Channel #	13
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	0
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	14
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	0
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	15
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	0
Scale Factor	0.765
Offset	0.35
Units	m/s

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min	CH13Avg	CH13SD	CH13Max	CH13Min	CH14Avg	CH14SD	CH14Max	CH14Min	CH15Avg	CH15SD	CH15Max	CH15Min
10/09/2013 00:00:00	2.0	0.6	3.0	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									309	15	0	0	0	0	0	0	18.1	0.1	18.1	17.9	0.0	0.0	0.0	0.0	998.5	0.2	999.0	998.1	78.1	0.3	78.9	77.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 00:10:00	1.9	0.6	3.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									308	11	0	0	0	0	0	0	17.9	0.0	18.1	17.9	0.0	0.0	0.0	0.0	998.3	0.2	999.0	998.1	78.5	0.3	79.3	78.1	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 00:20:00	1.4	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									296	16	0	0	0	0	0	0	17.9	0.1	17.9	17.9	0.0	0.0	0.0	0.0	998.3	0.1	999.0	998.1	79.0	0.3	79.8	78.5	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 00:30:00	1.1	0.6	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									293	11	0	0	0	0	0	0	17.7	0.1	17.9	17.6	0.0	0.0	0.0	0.0	998.3	0.0	999.0	998.1	79.6	0.3	80.2	78.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 00:40:00	1.6	0.5	3.0	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									314	13	0	0	0	0	0	0	17.6	0.0	17.9	17.6	0.0	0.0	0.0	0.0	998.3	0.2	999.0	998.1	79.9	0.3	80.6	79.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 00:50:00	1.7	0.6	3.0	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									312	10	0	0	0	0	0	0	17.5	0.1	17.6	17.6	0.0	0.0	0.0	0.0	998.1	0.2	999.0	998.1	80.3	0.3	80.9	79.6	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
